drugbank_id	chebi_id	MeSH
DB00378	31527	D004394
DB00379	6916	D008801
DB00379	6917	D008801
DB00380	50223	D064730
DB00380	50224	D064730
DB00380	50225	D064730
DB00381	2668	D017311
DB00381	53795	D017311
DB00381	53796	D017311
DB00382	45980	D013619
DB00387	8448	D011352
DB00387	8449	D011352
DB00388	8093	D010656
DB00388	8094	D010656
DB00389	617099	D002231
DB00390	4551	D004077
DB00391	32168	D013469
DB00391	64119	D013469
DB00391	64122	D013469
DB00392	313639	C084820
DB00392	31568	C084820
DB00392	60348	C084820
DB00392	60349	C084820
DB00393	7575	D009553
DB00394	3002	D001507
DB00395	3419	D002328
DB00395	59334	D002328
DB00395	59336	D002328
DB00396	17026	C003549
DB00396	17026	D011374
DB00398	50924	C471405
DB00398	50928	C471405
DB00399	46557	C088658
DB00400	27779	D006118
DB00401	76917	D015737
DB00401	76918	D015737
DB00401	76919	D015737
DB00402	32315	D000069582
DB00402	53760	D000069582
DB00402	53762	D000069582
DB00403	59219	C032637
DB00403	59219	D002108
DB00403	59223	C032637
DB00403	59223	D002108
DB00404	2611	D000525
DB00405	3183	C015121
DB00405	3184	C015121
DB00405	59269	C015121
DB00405	59273	C015121
DB00406	41688	D005840
DB00406	77181	D005840
DB00408	50841	D008152
DB00408	6549	D008152
DB00410	7025	D016712
DB00411	17883	D002217
DB00411	17996	D002217
DB00411	3385	D002217
DB00412	50122	C089730
DB00412	50123	C089730
DB00412	50125	C089730
DB00412	8892	C089730
DB00413	51147	C061333
DB00413	51148	C061333
DB00413	63218	C061333
DB00413	8356	C061333
DB00414	28052	D000092
DB00415	28971	D000667
DB00415	31209	D000667
DB00415	34535	D000667
DB00415	50658	D000667
DB00415	51342	D000667
DB00415	51343	D000667
DB00416	16382	C032943
DB00416	16382	C015836
DB00416	43451	C032943
DB00416	43451	C015836
DB00417	27446	D010404
DB00417	31973	D010404
DB00417	51355	D010404
DB00417	52173	D010404
DB00417	75258	D010404
DB00417	7967	D010404
DB00418	9073	D012631
DB00419	50381	C059896
DB00420	8459	D011395
DB00420	8460	D011395
DB00421	9241	D013148
DB00422	31836	D008774
DB00422	51856	D008774
DB00422	51857	D008774
DB00422	51860	D008774
DB00422	51861	D008774
DB00422	51862	D008774
DB00423	77498	D008721
DB00423	77501	D008721
DB00423	77502	D008721
DB00424	16684	D064692
DB00424	17486	D064692
DB00424	48882	D064692
DB00424	57858	D064692
DB00424	58164	D064692
DB00424	78734	D064692
DB00425	10125	C049109
DB00425	10126	C049109
DB00426	4974	C060590
DB00427	32265	D014311
DB00427	84116	D014311
DB00427	84117	D014311
DB00427	84119	D014311
DB00428	9288	D013311
DB00429	3403	C062843
DB00429	3403	D002260
DB00429	3404	C062843
DB00429	3404	D002260
DB00429	46097	C062843
DB00429	46097	D002260
DB00429	59205	C062843
DB00429	59205	D002260
DB00429	9754	C062843
DB00429	9754	D002260
DB00430	31377	C036666
DB00430	59213	C036666
DB00430	59214	C036666
DB00431	24536	D001556
DB00431	28428	D001556
DB00431	32888	D001556
DB00431	39095	D001556
DB00431	39096	D001556
DB00432	75179	D014271
DB00433	34932	D011346
DB00433	8435	D011346
DB00433	8436	D011346
DB00434	4046	D003533
DB00434	59695	D003533
DB00434	650917	D003533
DB00435	16480	D009569
DB00436	3013	D001539
DB00436	59243	D001539
DB00436	59244	D001539
DB00437	40279	D000493
DB00438	3508	D002442
DB00438	3509	D002442
DB00438	53675	D002442
DB00438	53676	D002442
DB00439	3558	C086276
DB00439	3559	C086276
DB00439	406059	C086276
DB00440	45924	D014295
DB00441	175901	C056507
DB00441	31647	C056507
DB00442	473990	C413685
DB00442	59902	C413685
DB00443	3077	C587113
DB00443	3077	C580789
DB00443	3077	C015706
DB00443	3077	C028994
DB00443	3077	C011175
DB00443	3077	D001623
DB00443	3077	D001624
DB00443	41879	C587113
DB00443	41879	C580789
DB00443	41879	C015706
DB00443	41879	C028994
DB00443	41879	C011175
DB00443	41879	D001623
DB00443	41879	D001624
DB00444	75988	D013713
DB00445	28748	D015251
DB00445	41983	D015251
DB00445	47898	D015251
DB00445	64816	D015251
DB00446	17698	C026016
DB00446	17698	D002701
DB00447	214480	C054920
DB00447	281056	C054920
DB00447	47544	C054920
DB00448	6375	D064747
DB00449	4646	C015173
DB00449	4647	C015173
DB00449	73714	C015173
DB00450	4717	D004329
DB00451	18332	D013974
DB00451	305790	D013974
DB00451	30659	D013974
DB00451	30660	D013974
DB00451	58448	D013974
DB00451	60302	D013974
DB00451	6446	D013974
DB00452	53634	D005601
DB00452	53636	D005601
DB00452	53637	D005601
DB00452	65077	D005601
DB00452	7508	D005601
DB00453	59589	C007090
DB00456	124991	D002512
DB00456	3542	D002512
DB00456	50897	D002512
DB00457	8364	D011224
DB00457	8365	D011224
DB00458	47499	D007099
DB00458	5882	D007099
DB00459	50172	D005050
DB00459	50172	D017255
DB00459	50173	D005050
DB00459	50173	D017255
DB00459	50174	D005050
DB00459	50174	D017255
DB00459	50175	D005050
DB00459	50175	D017255
DB00461	7443	C035605
DB00462	15858	D019832
DB00462	47266	D019832
DB00462	61276	D019832
DB00465	6129	D020910
DB00465	6129	D020911
DB00465	6130	D020910
DB00465	6130	D020911
DB00465	76223	D020910
DB00465	76223	D020911
DB00465	76227	D020910
DB00465	76227	D020911
DB00465	76228	D020910
DB00465	76228	D020911
DB00465	76229	D020910
DB00465	76229	D020911
DB00467	157175	D015365
DB00468	137041	D011803
DB00468	15854	D011803
DB00468	28593	D011803
DB00470	66964	D013759
DB00471	49165	C093875
DB00471	50730	C093875
DB00471	6993	C093875
DB00472	5118	D005473
DB00474	102216	D008723
DB00474	60792	D008723
DB00474	6834	D008723
DB00475	3611	D002707
DB00475	3612	D002707
DB00476	31526	D000068736
DB00476	36795	D000068736
DB00476	36796	D000068736
DB00476	36797	D000068736
DB00476	36806	D000068736
DB00476	36808	D000068736
DB00477	3647	D002746
DB00477	3649	D002746
DB00479	2637	D000583
DB00479	2638	D000583
DB00479	84739	D000583
DB00480	63791	C467567
DB00481	50740	D020849
DB00481	8772	D020849
DB00482	41423	D000068579
DB00483	16382	D005703
DB00483	43451	D005703
DB00484	3175	D000068438
DB00484	51157	D000068438
DB00485	34691	D004009
DB00485	4511	D004009
DB00485	52017	D004009
DB00485	52019	D004009
DB00487	50194	D015366
DB00487	50199	D015366
DB00488	24564	D006585
DB00489	63622	D013015
DB00489	63647	D013015
DB00489	9207	D013015
DB00490	3223	D002065
DB00490	3224	D002065
DB00492	5163	C046965
DB00492	5163	D017328
DB00492	5164	C046965
DB00492	5164	D017328
DB00492	59125	C046965
DB00492	59125	D017328
DB00493	204928	D002439
DB00493	3498	D002439
DB00493	53670	D002439
DB00494	4798	C071192
DB00495	10110	D015215
DB00496	31455	C101207
DB00496	391960	C101207
DB00497	7852	C016026
DB00497	7852	D010098
DB00497	7859	C016026
DB00497	7859	D010098
DB00498	8066	D010630
DB00499	5132	D005485
DB00500	71941	D014046
DB00500	72014	D014046
DB00500	72213	D014046
DB00500	9619	D014046
DB00501	3699	D002927
DB00501	50362	D002927
DB00502	5613	C033563
DB00502	5613	D006220
DB00503	45409	D019438
DB00505	9701	C005386
DB00505	9702	C005386
DB00505	9703	C005386
DB00505	9704	C005386
DB00508	9711	D014273
DB00508	9712	D014273
DB00509	18332	D003918
DB00509	305790	D003918
DB00509	30659	D003918
DB00509	30660	D003918
DB00509	58448	D003918
DB00509	60302	D003918
DB00509	6446	D003918
DB00511	53773	D000112
DB00512	28001	D014640
DB00512	76842	D014640
DB00513	16586	D015119
DB00513	32396	D015119
DB00513	57826	D015119
DB00514	4470	D003915
DB00515	17883	D002945
DB00515	17996	D002945
DB00515	29337	D002945
DB00515	49836	D002945
DB00516	15377	
DB00516	16234	
DB00516	25805	
DB00516	28984	
DB00516	29194	
DB00516	29374	
DB00516	29375	
DB00516	29412	
DB00516	30563	
DB00516	33629	
DB00516	33806	
DB00516	33811	
DB00516	33813	
DB00516	33815	
DB00516	33818	
DB00516	33819	
DB00516	36932	
DB00516	36933	
DB00516	37968	
DB00516	37969	
DB00516	37970	
DB00516	41981	
DB00517	15858	C100237
DB00517	2739	C100237
DB00517	47266	C100237
DB00518	16664	D015766
DB00520	474180	C105417
DB00520	59900	C105417
DB00521	3437	D002354
DB00521	3438	D002354
DB00521	61202	D002354
DB00522	31263	C006717
DB00523	15036	C103303
DB00523	15367	C103303
DB00523	26536	C103303
DB00523	35291	C103303
DB00523	46856	C103303
DB00523	50648	C103303
DB00523	6067	C103303
DB00523	78630	C103303
